provider_id,provider_first_name,provider_last_name,degree,network,claim_id,practice_name,address_id,gender
7001,Cadman,Delaney, MS , Out Network,900, ADVENT HEATH ,3457,Male 
7002,Brandon,Nieves,MD ,In Network ,901, SMILE DENTAL ,4557,Male 
7003,Perry,Sparks, PSYD , Out Network,902,ABC HOSPITAL ,2235, Not Answered
7004,Marvin,York, CRNP ,In Network ,903, SMILE DENTAL ,4366, Female 
7005,Samson,Stevens, PSYD ,In Network ,904, VIERRA HOSPITAL ,2265,Male 
7006,Felix,Long, RD ,In Network ,905, ADVENT HEATH ,2041,Male 
7007,Jason,Henderson, MS , Out Network,906, MEMORIAL HOSPITAL ,3286, Not Answered
7008,Xavier,Small, RD ,In Network ,907, SMILE DENTAL ,3960, Not Answered
7009,Aquila,Frank, MBBS ,In Network ,908,ABC HOSPITAL ,4542, Not Answered
7010,Baker,Mcbride, MS , Out Network,909, WELLCARE HOSPITAL ,3519,Male 
7011,Mufutau,Obrien,MD , Out Network,910, CONCORDIA HEALTH ,2157, Female 
7012,Brenden,Burris, MBBS , Out Network,911, CONCORDIA HEALTH ,1591, Not Answered
7013,Kyle,Vazquez, MS ,In Network ,912,ABC HOSPITAL ,2061, Not Answered
7014,Eaton,Suarez, CRNP , Out Network,913, ADVENT HEATH ,1073, Female 
7015,Joel,Lucas, PSYD ,In Network ,914,ABC HOSPITAL ,4806, Not Answered
7016,Richard,Merrill, RD ,In Network ,915, ADVENT HEATH ,1419, Female 
7017,Victor,Dillard, MBBS ,In Network ,916,ABC HOSPITAL ,2583,Male 
7018,Slade,Cleveland,MD ,In Network ,917, WELLCARE HOSPITAL ,4067, Female 
7019,Kieran,Mayer, MBBS , Out Network,918, VIERRA HOSPITAL ,3381, Female 
7020,Carl,Ballard, CRNP ,In Network ,919, ADVENT HEATH ,2107, Female 
7021,Raymond,Casey, MBBS , Out Network,920, ADVENT HEATH ,2224,Male 
7022,Nissim,Ellis, CRNP , Out Network,921,ABC HOSPITAL ,4160,Male 
7023,Jamal,Talley, PSYD , Out Network,922,ABC HOSPITAL ,2743, Not Answered
7024,Adrian,Buck, RD , Out Network,923, ADVENT HEATH ,4908,Male 
7025,Holmes,Hanson, PSYD , Out Network,924, SMILE DENTAL ,4583, Not Answered
7026,Erasmus,Lloyd, PSYD ,In Network ,925, VIERRA HOSPITAL ,4471, Female 
7027,Coby,Moran, MBBS ,In Network ,926, MEMORIAL HOSPITAL ,4841, Not Answered
7028,Giacomo,Case, PSYD , Out Network,927,ABC HOSPITAL ,3912, Not Answered
7029,Jerome,Henry, RD ,In Network ,928, ADVENT HEATH ,2937,Male 
7030,Garrison,Gilmore, MS ,In Network ,929, VIERRA HOSPITAL ,1357, Female 
7031,Zeph,Hall, MS , Out Network,930, MEMORIAL HOSPITAL ,3590, Female 
7032,Nasim,Dale, DDS,In Network ,931, CONCORDIA HEALTH ,3037, Not Answered
7033,Nash,Vargas, DDS, Out Network,932,ABC HOSPITAL ,1772, Female 
7034,Nathan,Valentine, RD , Out Network,933, MEMORIAL HOSPITAL ,4321,Male 
7035,Cade,Conrad, PSYD ,In Network ,934, ADVENT HEATH ,1251, Female 
7036,Aristotle,Mann, MBBS , Out Network,935, ADVENT HEATH ,2291, Not Answered
7037,Chandler,Lindsay, DDS, Out Network,936, CONCORDIA HEALTH ,3853,Male 
7038,Colin,Farmer, MBBS , Out Network,937, ADVENT HEATH ,1271, Not Answered
7039,Palmer,Robertson, CRNP , Out Network,938,ABC HOSPITAL ,1726, Not Answered
7040,Dane,Rivera, MS , Out Network,939, SMILE DENTAL ,4057, Not Answered
7041,Nicholas,Moss, RD , Out Network,940, MEMORIAL HOSPITAL ,3105, Not Answered
7042,Kirk,Gross, DDS,In Network ,941, SMILE DENTAL ,1795, Female 
7043,Flynn,Cunningham, RD ,In Network ,942, WELLCARE HOSPITAL ,3297, Female 
7044,Austin,Stanley, RD ,In Network ,943, WELLCARE HOSPITAL ,4476, Female 
7045,Harper,Ochoa, MBBS ,In Network ,944, WELLCARE HOSPITAL ,4027,Male 
7046,Scott,Barber,MD ,In Network ,945,ABC HOSPITAL ,4989, Not Answered
7047,Rogan,Conley, MBBS ,In Network ,946, SMILE DENTAL ,3110, Not Answered
7048,Rahim,Peters, MS , Out Network,947, ADVENT HEATH ,1420, Not Answered
7049,Lane,Forbes, RD ,In Network ,948,ABC HOSPITAL ,2555, Female 
7050,Ross,Small, MS , Out Network,949, SMILE DENTAL ,1578,Male 
7051,Jordan,Bernard, DDS,In Network ,950, ADVENT HEATH ,3877,Male 
7052,Bernard,Spears,MD , Out Network,951, SMILE DENTAL ,1052, Female 
7053,Arden,Stanton, CRNP , Out Network,952, ADVENT HEATH ,1741, Female 
7054,Raja,Martin, DDS, Out Network,953, WELLCARE HOSPITAL ,3986, Not Answered
7055,Lionel,Russell, RD ,In Network ,954, CONCORDIA HEALTH ,2831,Male 
7056,Preston,Dejesus, MBBS ,In Network ,955, ADVENT HEATH ,3423, Female 
7057,Asher,Ochoa, MBBS , Out Network,956, WELLCARE HOSPITAL ,3913, Female 
7058,Bruno,Erickson, MBBS , Out Network,957, VIERRA HOSPITAL ,1946,Male 
